,model,split,rmse,r2
0,dummy,train,15.937,0.0
1,dummy,validation,15.9833,-0.0
2,linear-gender,train,15.918,0.0024
3,linear-gender,validation,15.9637,0.0024
4,linear-birthyear,train,15.7883,0.0186
5,linear-birthyear,validation,15.8422,0.0176
6,linear-full,train,15.3054,0.0777
7,linear-full,validation,15.3703,0.0752
8,linear_lasso_alpha_1.0,train,15.7883,0.0186
9,linear_lasso_alpha_1.0,validation,15.8422,0.0176
10,linear_ridge_alpha_1.0,train,15.3054,0.0777
11,linear_ridge_alpha_1.0,validation,15.3702,0.0752
12,knn-allpreds-10,train,13.2382,0.31
13,knn-allpreds-10,validation,14.5385,0.1726
14,randomforest_default_allpreds,train,7.4042,0.7842
15,randomforest_default_allpreds,validation,14.1748,0.2135
16,randomforest_default_58preds,train,7.4126,0.7837
17,randomforest_default_58preds,validation,14.205,0.2101
18,randomforest_tuned_58preds,train,13.7861,0.2517
19,randomforest_tuned_58preds,validation,13.8965,0.2441
20,randomforest_tuned_58preds,test,13.8507,0.2431
